,mutation_base,mutation_reference,mutation_n_comps,use_archive,crossover,adaptation_method,lpsr
372,best,rand,2,False,bin,,True
373,best,rand,2,False,bin,,False
374,best,rand,2,False,bin,shade,True
375,best,rand,2,False,bin,shade,False
376,best,rand,2,False,bin,jDE,True
377,best,rand,2,False,bin,jDE,False
378,best,rand,2,False,exp,,True
379,best,rand,2,False,exp,,False
380,best,rand,2,False,exp,shade,True
381,best,rand,2,False,exp,shade,False
382,best,rand,2,False,exp,jDE,True
383,best,rand,2,False,exp,jDE,False
384,target,,1,True,bin,,True
385,target,,1,True,bin,,False
386,target,,1,True,bin,shade,True
387,target,,1,True,bin,shade,False
388,target,,1,True,bin,jDE,True
389,target,,1,True,bin,jDE,False
390,target,,1,True,exp,,True
391,target,,1,True,exp,,False
392,target,,1,True,exp,shade,True
393,target,,1,True,exp,shade,False
394,target,,1,True,exp,jDE,True
395,target,,1,True,exp,jDE,False
396,target,,1,False,bin,,True
397,target,,1,False,bin,,False
398,target,,1,False,bin,shade,True
399,target,,1,False,bin,shade,False
400,target,,1,False,bin,jDE,True
401,target,,1,False,bin,jDE,False
402,target,,1,False,exp,,True
403,target,,1,False,exp,,False
404,target,,1,False,exp,shade,True
405,target,,1,False,exp,shade,False
406,target,,1,False,exp,jDE,True
407,target,,1,False,exp,jDE,False
408,target,,2,True,bin,,True
409,target,,2,True,bin,,False
410,target,,2,True,bin,shade,True
411,target,,2,True,bin,shade,False
412,target,,2,True,bin,jDE,True
413,target,,2,True,bin,jDE,False
414,target,,2,True,exp,,True
415,target,,2,True,exp,,False
416,target,,2,True,exp,shade,True
417,target,,2,True,exp,shade,False
418,target,,2,True,exp,jDE,True
419,target,,2,True,exp,jDE,False
420,target,,2,False,bin,,True
421,target,,2,False,bin,,False
422,target,,2,False,bin,shade,True
423,target,,2,False,bin,shade,False
424,target,,2,False,bin,jDE,True
425,target,,2,False,bin,jDE,False
426,target,,2,False,exp,,True
427,target,,2,False,exp,,False
428,target,,2,False,exp,shade,True
429,target,,2,False,exp,shade,False
430,target,,2,False,exp,jDE,True
431,target,,2,False,exp,jDE,False
432,target,pbest,1,True,bin,,True
433,target,pbest,1,True,bin,,False
434,target,pbest,1,True,bin,shade,True
435,target,pbest,1,True,bin,shade,False
436,target,pbest,1,True,bin,jDE,True
437,target,pbest,1,True,bin,jDE,False
438,target,pbest,1,True,exp,,True
439,target,pbest,1,True,exp,,False
440,target,pbest,1,True,exp,shade,True
441,target,pbest,1,True,exp,shade,False
442,target,pbest,1,True,exp,jDE,True
443,target,pbest,1,True,exp,jDE,False
444,target,pbest,1,False,bin,,True
445,target,pbest,1,False,bin,,False
446,target,pbest,1,False,bin,shade,True
447,target,pbest,1,False,bin,shade,False
448,target,pbest,1,False,bin,jDE,True
449,target,pbest,1,False,bin,jDE,False
450,target,pbest,1,False,exp,,True
451,target,pbest,1,False,exp,,False
452,target,pbest,1,False,exp,shade,True
453,target,pbest,1,False,exp,shade,False
454,target,pbest,1,False,exp,jDE,True
455,target,pbest,1,False,exp,jDE,False
456,target,pbest,2,True,bin,,True
457,target,pbest,2,True,bin,,False
